x_1,x_2,x_3,x_4,y
1.0,0.0,2.976142406463623,0.6514820456504822,10
0.0,1.0,1.4113903045654297,0.7437315583229065,12
0.0,1.0,1.0398918390274048,1.2905879020690918,7
1.0,0.0,2.338679313659668,0.9739415049552917,15
0.0,1.0,2.385256767272949,0.2979210615158081,9
0.0,1.0,2.912909984588623,0.24448896944522858,8
1.0,0.0,2.585491180419922,0.13304424285888672,9
1.0,0.0,2.961106777191162,0.3385654389858246,8
0.0,1.0,0.1619439423084259,0.481608510017395,4
0.0,1.0,2.512620687484741,1.118481159210205,16
1.0,0.0,2.7112865447998047,0.46343204379081726,14
1.0,0.0,1.4790109395980835,0.8602467179298401,7
1.0,0.0,0.22392332553863525,1.030258059501648,8
1.0,0.0,2.9182448387145996,0.4092492163181305,10
0.0,1.0,1.4470713138580322,0.061543047428131104,4
1.0,0.0,2.269534111022949,1.7545684576034546,19
0.0,1.0,2.8048088550567627,1.1142117977142334,15
0.0,1.0,2.53971529006958,1.8506617546081543,21
0.0,1.0,1.300125002861023,1.1789238452911377,5
1.0,0.0,1.2751723527908325,0.7564087510108948,11
0.0,1.0,1.935979962348938,1.6695889234542847,6
0.0,1.0,2.354851722717285,0.2849023640155792,14
0.0,1.0,1.1659845113754272,0.881215512752533,10
0.0,1.0,2.8817975521087646,1.2098355293273926,8
0.0,1.0,2.027010202407837,1.8141157627105713,13
0.0,1.0,0.34825217723846436,0.888418436050415,9
0.0,1.0,1.2516807317733765,1.8753740787506104,13
0.0,1.0,2.7351462841033936,1.8524181842803955,21
0.0,1.0,1.7931185960769653,1.7812697887420654,15
0.0,1.0,1.9414772987365723,1.6244748830795288,15
0.0,1.0,2.888225555419922,0.352752685546875,8
0.0,1.0,1.071579933166504,1.4998921155929565,13
0.0,1.0,0.1888396143913269,0.11508350074291229,2
0.0,1.0,1.1491626501083374,1.4166033267974854,13
1.0,0.0,2.674123764038086,0.48967236280441284,9
0.0,1.0,2.9059863090515137,0.8685175180435181,6
0.0,1.0,0.9292197823524475,0.46317970752716064,5
1.0,0.0,0.1961859166622162,0.3927552402019501,3
0.0,1.0,1.427466630935669,1.746254801750183,6
0.0,1.0,1.277181625366211,0.9670071005821228,9
1.0,0.0,0.2752520442008972,0.9703511595726013,11
0.0,1.0,2.136786460876465,1.0734461545944214,11
0.0,1.0,0.2513643801212311,1.9656513929367065,11
0.0,1.0,0.3118080198764801,0.2733786106109619,7
0.0,1.0,2.9405903816223145,0.0496547669172287,15
1.0,0.0,1.2176495790481567,1.4390313625335693,14
0.0,1.0,2.7747373580932617,1.469080924987793,12
0.0,1.0,1.2316548824310303,0.2987521290779114,11
0.0,1.0,2.943624496459961,1.5019477605819702,28
0.0,1.0,0.8570086359977722,1.5593446493148804,11
0.0,1.0,2.018589496612549,1.856904149055481,22
0.0,1.0,1.314057469367981,1.1651949882507324,10
0.0,1.0,2.9434328079223633,1.5295506715774536,19
0.0,1.0,1.0215877294540405,1.2940818071365356,10
0.0,1.0,0.0746816098690033,0.33508238196372986,8
0.0,1.0,2.74704647064209,0.812203049659729,12
0.0,1.0,2.4790806770324707,0.6477567553520203,10
0.0,1.0,2.2014949321746826,0.9450576305389404,7
0.0,1.0,0.49295487999916077,0.043171487748622894,3
0.0,1.0,0.5920961499214172,1.9101178646087646,9
1.0,0.0,0.5088528394699097,1.5066007375717163,15
0.0,1.0,2.3730030059814453,0.760312557220459,9
0.0,1.0,2.9823901653289795,1.1958394050598145,10
0.0,1.0,1.5024783611297607,0.5410464406013489,6
0.0,1.0,1.095580816268921,1.5215445756912231,7
0.0,1.0,0.1142377182841301,1.2990214824676514,9
0.0,1.0,1.4845399856567383,1.6567835807800293,15
1.0,0.0,0.25824350118637085,1.9761631488800049,14
1.0,0.0,2.62027645111084,1.7638055086135864,18
0.0,1.0,2.7949674129486084,1.1885435581207275,14
1.0,0.0,0.44402533769607544,1.291709542274475,6
1.0,0.0,1.6367093324661255,1.557943344116211,19
1.0,0.0,1.788961410522461,1.3273791074752808,9
0.0,1.0,2.5617456436157227,1.3766826391220093,9
0.0,1.0,1.036934733390808,0.45455050468444824,4
0.0,1.0,1.9678622484207153,0.5499311685562134,12
0.0,1.0,0.6467933654785156,0.6155833601951599,3
1.0,0.0,1.85988450050354,1.292739987373352,5
0.0,1.0,1.4693230390548706,0.4188190698623657,9
0.0,1.0,0.6374191045761108,0.07478240877389908,6
0.0,1.0,1.4257419109344482,1.7674651145935059,9
1.0,0.0,0.07494083791971207,0.08963820338249207,6
0.0,1.0,2.2967848777770996,0.11880715191364288,6
1.0,0.0,1.4751015901565552,0.18211135268211365,6
0.0,1.0,1.6591224670410156,0.8797188997268677,8
0.0,1.0,2.744333028793335,0.29439496994018555,11
0.0,1.0,2.8376786708831787,1.5877223014831543,10
1.0,0.0,2.231685161590576,0.1251707375049591,13
0.0,1.0,2.331543207168579,0.11446276307106018,8
0.0,1.0,0.23154357075691223,0.09394454210996628,4
0.0,1.0,2.86905574798584,0.5681405663490295,13
1.0,0.0,0.6104938983917236,0.5258459448814392,5
0.0,1.0,0.480233758687973,1.4740427732467651,10
1.0,0.0,0.9011061191558838,0.05960507318377495,6
0.0,1.0,1.4058599472045898,0.9273902773857117,10
1.0,0.0,2.9388253688812256,1.7624642848968506,17
0.0,1.0,0.15756644308567047,1.7268404960632324,10
1.0,0.0,1.4339152574539185,1.5565567016601562,12
0.0,1.0,1.3472516536712646,1.5407367944717407,9
1.0,0.0,2.5319104194641113,1.7085835933685303,19
0.0,1.0,1.5802003145217896,1.4636331796646118,10
0.0,1.0,2.9024343490600586,0.09318012744188309,8
1.0,0.0,0.31589388847351074,1.1571685075759888,4
0.0,1.0,0.07723938673734665,0.9871285557746887,3
1.0,0.0,1.1243804693222046,0.33027416467666626,7
1.0,0.0,1.6175991296768188,0.2663925886154175,7
0.0,1.0,1.8427937030792236,0.048955950886011124,9
0.0,1.0,2.6946287155151367,1.3932489156723022,16
